lead_code,total_due,dpd_bucket,state
LDSMFG_127222,353492,30-60,UP
LDSMFG_127223,340209,90-180,Tamil Nadu
LDSMFG_127224,418869,30-60,Delhi
LDSMFG_127225,455137,30-60,Delhi
LDSMFG_127226,360540,30-60,Tamil Nadu
LDSMFG_127227,18654,60-90,Karnataka
LDSMFG_127228,400324,60-90,Tamil Nadu
LDSMFG_127229,336627,30-60,Karnataka
LDSMFG_127230,12899,180+,Maharashtra
LDSMFG_127231,149444,30-60,Maharashtra
LDSMFG_127232,435898,30-60,Tamil Nadu
LDSMFG_127233,363053,30-60,Tamil Nadu
LDSMFG_127234,372115,30-60,Tamil Nadu
LDSMFG_127235,466015,180+,UP
LDSMFG_127236,96724,60-90,Tamil Nadu
LDSMFG_127237,434799,90-180,Maharashtra
LDSMFG_127238,34295,60-90,Maharashtra
LDSMFG_127239,464329,60-90,Karnataka
LDSMFG_127240,347709,180+,Tamil Nadu
LDSMFG_127241,54574,30-60,Maharashtra
LDSMFG_127242,368211,30-60,Delhi
LDSMFG_127243,201006,30-60,Delhi
LDSMFG_127244,35066,30-60,Tamil Nadu
LDSMFG_127245,219221,60-90,Delhi
LDSMFG_127246,221168,30-60,Karnataka
LDSMFG_127247,145017,90-180,UP
LDSMFG_127248,34418,30-60,Karnataka
LDSMFG_127249,87607,30-60,Delhi
LDSMFG_127250,54874,90-180,Tamil Nadu
LDSMFG_127251,379302,60-90,Karnataka
LDSMFG_127252,415346,90-180,Maharashtra
LDSMFG_127253,353401,30-60,Maharashtra
LDSMFG_127254,135538,30-60,Maharashtra
LDSMFG_127255,466464,90-180,Delhi
LDSMFG_127256,218699,90-180,Karnataka
LDSMFG_127257,217465,30-60,Karnataka
LDSMFG_127258,439610,30-60,Karnataka
LDSMFG_127259,54635,30-60,Delhi
LDSMFG_127260,262470,90-180,UP
LDSMFG_127261,380167,60-90,Maharashtra
LDSMFG_127262,366981,60-90,Tamil Nadu
LDSMFG_127263,218161,90-180,Maharashtra
LDSMFG_127264,284548,180+,Maharashtra
LDSMFG_127265,77629,90-180,Maharashtra
LDSMFG_127266,18156,60-90,Tamil Nadu
LDSMFG_127267,453834,30-60,Delhi
LDSMFG_127268,54999,90-180,Tamil Nadu
LDSMFG_127269,412001,30-60,Tamil Nadu
LDSMFG_127270,184431,90-180,Tamil Nadu
LDSMFG_127271,489023,30-60,Delhi
LDSMFG_127272,281838,30-60,Karnataka
LDSMFG_127273,434330,30-60,UP
LDSMFG_127274,336693,30-60,Tamil Nadu
LDSMFG_127275,193302,30-60,Maharashtra
LDSMFG_127276,37799,30-60,Delhi
LDSMFG_127277,357432,30-60,UP
LDSMFG_127278,147228,30-60,Tamil Nadu
LDSMFG_127279,408520,90-180,UP
LDSMFG_127280,307789,30-60,Karnataka
LDSMFG_127281,175010,30-60,Maharashtra
LDSMFG_127282,455198,60-90,Tamil Nadu
LDSMFG_127283,344758,90-180,Delhi
LDSMFG_127284,227686,30-60,Karnataka
LDSMFG_127285,138387,30-60,Tamil Nadu
LDSMFG_127286,490972,90-180,Maharashtra
LDSMFG_127287,233339,30-60,UP
LDSMFG_127288,365513,90-180,Karnataka
LDSMFG_127289,17420,60-90,Maharashtra
LDSMFG_127290,285456,60-90,Tamil Nadu
LDSMFG_127291,288539,60-90,Karnataka
LDSMFG_127292,307445,30-60,Maharashtra
LDSMFG_127293,256985,30-60,UP
LDSMFG_127294,51972,30-60,Maharashtra
LDSMFG_127295,68294,60-90,Karnataka
LDSMFG_127296,85853,180+,Karnataka
LDSMFG_127297,125135,30-60,Delhi
LDSMFG_127298,446441,30-60,Karnataka
LDSMFG_127299,87504,60-90,Maharashtra
LDSMFG_127300,289998,30-60,Maharashtra
LDSMFG_127301,126373,30-60,Delhi
LDSMFG_127302,337924,180+,Tamil Nadu
LDSMFG_127303,429145,180+,Maharashtra
LDSMFG_127304,373602,90-180,Delhi
LDSMFG_127305,324247,30-60,Tamil Nadu
LDSMFG_127306,330764,30-60,UP
LDSMFG_127307,356734,60-90,Tamil Nadu
LDSMFG_127308,351268,30-60,Karnataka
LDSMFG_127309,311734,30-60,Karnataka
LDSMFG_127310,367340,60-90,Karnataka
LDSMFG_127311,77554,90-180,Delhi
LDSMFG_127312,408837,60-90,Tamil Nadu
LDSMFG_127313,122781,30-60,UP
LDSMFG_127314,5973,60-90,Tamil Nadu
LDSMFG_127315,254784,60-90,Karnataka
LDSMFG_127316,245210,30-60,Maharashtra
LDSMFG_127317,325930,60-90,Tamil Nadu
LDSMFG_127318,109919,60-90,Delhi
LDSMFG_127319,42097,30-60,Karnataka
LDSMFG_127320,126403,60-90,UP
LDSMFG_127321,301389,30-60,UP
LDSMFG_127322,201283,90-180,Delhi
LDSMFG_127323,59841,60-90,Maharashtra
LDSMFG_127324,30346,60-90,Maharashtra
LDSMFG_127325,110633,30-60,Tamil Nadu
LDSMFG_127326,76980,180+,Tamil Nadu
LDSMFG_127327,95417,180+,Tamil Nadu
LDSMFG_127328,447369,30-60,Delhi
LDSMFG_127329,488598,180+,Maharashtra
LDSMFG_127330,344086,60-90,Tamil Nadu
LDSMFG_127331,372291,90-180,Tamil Nadu
LDSMFG_127332,358119,30-60,Maharashtra
LDSMFG_127333,273116,30-60,Delhi
LDSMFG_127334,315207,60-90,Maharashtra
LDSMFG_127335,463704,30-60,Maharashtra
LDSMFG_127336,135017,90-180,Karnataka
LDSMFG_127337,324199,90-180,Tamil Nadu
LDSMFG_127338,239481,90-180,Maharashtra
LDSMFG_127339,462582,30-60,Tamil Nadu
LDSMFG_127340,147003,60-90,Maharashtra
LDSMFG_127341,143774,30-60,Maharashtra
LDSMFG_127342,89834,180+,UP
LDSMFG_127343,419756,60-90,Delhi
LDSMFG_127344,324594,30-60,Maharashtra
LDSMFG_127345,233648,60-90,Maharashtra
LDSMFG_127346,70252,30-60,Maharashtra
LDSMFG_127347,51904,30-60,Delhi
LDSMFG_127348,57320,30-60,Delhi
LDSMFG_127349,298144,90-180,Karnataka
LDSMFG_127350,100341,60-90,Delhi
LDSMFG_127351,263596,30-60,Tamil Nadu
LDSMFG_127352,269743,30-60,Tamil Nadu
LDSMFG_127353,354780,60-90,Tamil Nadu
LDSMFG_127354,232117,60-90,Maharashtra
LDSMFG_127355,498755,30-60,UP
LDSMFG_127356,220791,60-90,Delhi
LDSMFG_127357,192237,30-60,Delhi
LDSMFG_127358,194927,180+,Maharashtra
LDSMFG_127359,239849,30-60,Karnataka
LDSMFG_127360,5018,180+,UP
LDSMFG_127361,136930,60-90,Tamil Nadu
LDSMFG_127362,424208,90-180,Maharashtra
LDSMFG_127363,430796,60-90,Maharashtra
LDSMFG_127364,338060,90-180,Karnataka
LDSMFG_127365,171872,30-60,Tamil Nadu
LDSMFG_127366,386337,30-60,Maharashtra
LDSMFG_127367,63770,30-60,UP
LDSMFG_127368,453157,30-60,Delhi
LDSMFG_127369,220523,180+,Maharashtra
LDSMFG_127370,241847,30-60,Maharashtra
LDSMFG_127371,304631,180+,Tamil Nadu
LDSMFG_127372,149015,60-90,Maharashtra
LDSMFG_127373,107342,90-180,Karnataka
LDSMFG_127374,66457,30-60,Delhi
LDSMFG_127375,285980,30-60,Karnataka
LDSMFG_127376,368294,30-60,Karnataka
LDSMFG_127377,278538,60-90,Delhi
LDSMFG_127378,339302,180+,Delhi
LDSMFG_127379,391804,30-60,Karnataka
LDSMFG_127380,115599,90-180,Delhi
LDSMFG_127381,292424,30-60,UP
LDSMFG_127382,129221,180+,Tamil Nadu
LDSMFG_127383,254222,90-180,Tamil Nadu
LDSMFG_127384,82318,30-60,UP
LDSMFG_127385,399375,90-180,Delhi
LDSMFG_127386,337306,90-180,UP
LDSMFG_127387,421656,90-180,Tamil Nadu
LDSMFG_127388,475382,30-60,Tamil Nadu
LDSMFG_127389,319856,90-180,Maharashtra
LDSMFG_127390,265784,30-60,Karnataka
LDSMFG_127391,376722,60-90,Maharashtra
LDSMFG_127392,183728,30-60,Delhi
LDSMFG_127393,142661,60-90,Tamil Nadu
LDSMFG_127394,315385,180+,Delhi
LDSMFG_127395,260667,30-60,Tamil Nadu
LDSMFG_127396,28233,90-180,Tamil Nadu
LDSMFG_127397,171083,60-90,Tamil Nadu
LDSMFG_127398,275321,30-60,Maharashtra
LDSMFG_127399,170600,30-60,Karnataka
LDSMFG_127400,119506,60-90,Tamil Nadu
LDSMFG_127401,239818,30-60,Karnataka
LDSMFG_127402,66351,180+,UP
LDSMFG_127403,359052,30-60,Karnataka
LDSMFG_127404,455047,60-90,Delhi
LDSMFG_127405,56827,60-90,Maharashtra
LDSMFG_127406,421724,30-60,UP
LDSMFG_127407,453149,90-180,Delhi
LDSMFG_127408,85501,30-60,Maharashtra
LDSMFG_127409,73772,90-180,Karnataka
LDSMFG_127410,20611,30-60,UP
LDSMFG_127411,158354,30-60,Maharashtra
LDSMFG_127412,308147,180+,Delhi
LDSMFG_127413,217437,60-90,Tamil Nadu
LDSMFG_127414,472432,60-90,Karnataka
LDSMFG_127415,255036,30-60,Delhi
LDSMFG_127416,147412,30-60,Delhi
LDSMFG_127417,363773,90-180,Delhi
LDSMFG_127418,353787,60-90,Maharashtra
LDSMFG_127419,341828,30-60,Karnataka
LDSMFG_127420,375754,30-60,Tamil Nadu
LDSMFG_127421,387476,90-180,Karnataka
LDSMFG_127422,88035,90-180,UP
LDSMFG_127423,285309,30-60,Delhi
LDSMFG_127424,114322,90-180,Tamil Nadu
LDSMFG_127425,488978,30-60,UP
LDSMFG_127426,416476,90-180,Tamil Nadu
LDSMFG_127427,59515,30-60,Maharashtra
LDSMFG_127428,226524,90-180,UP
LDSMFG_127429,114446,60-90,Maharashtra
LDSMFG_127430,35480,30-60,Delhi
LDSMFG_127431,188599,60-90,Maharashtra
LDSMFG_127432,64789,30-60,UP
LDSMFG_127433,187974,30-60,UP
LDSMFG_127434,37191,60-90,Maharashtra
LDSMFG_127435,64488,180+,Maharashtra
LDSMFG_127436,211154,90-180,UP
LDSMFG_127437,172116,90-180,UP
LDSMFG_127438,185672,90-180,Karnataka
LDSMFG_127439,354601,60-90,Karnataka
LDSMFG_127440,184848,30-60,Maharashtra
LDSMFG_127441,369620,90-180,Tamil Nadu
LDSMFG_127442,411052,30-60,UP
LDSMFG_127443,79525,180+,Delhi
LDSMFG_127444,319792,60-90,Karnataka
LDSMFG_127445,18740,60-90,Maharashtra
LDSMFG_127446,362860,30-60,Delhi
LDSMFG_127447,149174,30-60,UP
LDSMFG_127448,216965,60-90,Tamil Nadu
LDSMFG_127449,449550,30-60,Delhi
LDSMFG_127450,396821,30-60,UP
LDSMFG_127451,118917,30-60,Karnataka
LDSMFG_127452,428471,60-90,Maharashtra
LDSMFG_127453,106630,60-90,Maharashtra
LDSMFG_127454,30221,60-90,Maharashtra
LDSMFG_127455,68265,30-60,Delhi
LDSMFG_127456,5719,60-90,UP
LDSMFG_127457,219514,30-60,Delhi
LDSMFG_127458,421356,30-60,Tamil Nadu
LDSMFG_127459,453995,60-90,Tamil Nadu
LDSMFG_127460,137141,60-90,UP
LDSMFG_127461,59714,60-90,Delhi
LDSMFG_127462,78285,60-90,Maharashtra
LDSMFG_127463,280079,60-90,UP
LDSMFG_127464,386506,30-60,Tamil Nadu
LDSMFG_127465,49035,30-60,Delhi
LDSMFG_127466,393831,30-60,Maharashtra
LDSMFG_127467,363400,180+,Karnataka
LDSMFG_127468,426153,30-60,UP
LDSMFG_127469,285684,90-180,UP
LDSMFG_127470,78480,90-180,Karnataka
LDSMFG_127471,315846,90-180,Maharashtra
LDSMFG_127472,83283,60-90,Karnataka
LDSMFG_127473,212113,60-90,Maharashtra
LDSMFG_127474,247825,30-60,Maharashtra
LDSMFG_127475,475449,30-60,Karnataka
LDSMFG_127476,435123,30-60,Tamil Nadu
LDSMFG_127477,151293,90-180,Delhi
LDSMFG_127478,321925,60-90,Tamil Nadu
LDSMFG_127479,12087,90-180,Tamil Nadu
LDSMFG_127480,485214,90-180,UP
LDSMFG_127481,289933,60-90,Tamil Nadu
LDSMFG_127482,454239,30-60,Tamil Nadu
LDSMFG_127483,431616,90-180,Maharashtra
LDSMFG_127484,138271,30-60,Tamil Nadu
LDSMFG_127485,183388,30-60,Tamil Nadu
LDSMFG_127486,354417,30-60,Delhi
LDSMFG_127487,450278,60-90,Delhi
LDSMFG_127488,120310,90-180,UP
LDSMFG_127489,469825,60-90,Karnataka
LDSMFG_127490,152816,60-90,Karnataka
LDSMFG_127491,474311,60-90,Maharashtra
LDSMFG_127492,191589,60-90,Maharashtra
LDSMFG_127493,103231,90-180,Karnataka
LDSMFG_127494,184937,30-60,Maharashtra
LDSMFG_127495,472153,30-60,Delhi
LDSMFG_127496,213267,30-60,Maharashtra
LDSMFG_127497,18894,60-90,UP
LDSMFG_127498,427376,90-180,Maharashtra
LDSMFG_127499,320239,60-90,Maharashtra
LDSMFG_127500,34272,30-60,Delhi
LDSMFG_127501,59021,30-60,Delhi
LDSMFG_127502,226120,60-90,UP
LDSMFG_127503,38645,30-60,Delhi
LDSMFG_127504,379223,60-90,Maharashtra
LDSMFG_127505,26179,180+,Tamil Nadu
LDSMFG_127506,15691,30-60,Maharashtra
LDSMFG_127507,134436,30-60,Tamil Nadu
LDSMFG_127508,265005,90-180,Karnataka
LDSMFG_127509,217718,30-60,UP
LDSMFG_127510,236899,180+,Delhi
LDSMFG_127511,312455,90-180,Karnataka
LDSMFG_127512,362525,60-90,Maharashtra
LDSMFG_127513,175110,60-90,Karnataka
LDSMFG_127514,292111,30-60,UP
LDSMFG_127515,33478,30-60,UP
LDSMFG_127516,453991,60-90,Delhi
LDSMFG_127517,468840,60-90,Delhi
LDSMFG_127518,307476,180+,Karnataka
LDSMFG_127519,405282,60-90,Delhi
LDSMFG_127520,306457,90-180,Tamil Nadu
LDSMFG_127521,72857,30-60,Delhi
LDSMFG_127522,50900,90-180,Maharashtra
LDSMFG_127523,226141,30-60,Tamil Nadu
LDSMFG_127524,488261,60-90,Delhi
LDSMFG_127525,131861,90-180,Karnataka
LDSMFG_127526,46098,60-90,Delhi
LDSMFG_127527,13294,30-60,Karnataka
LDSMFG_127528,198652,60-90,UP
LDSMFG_127529,174173,90-180,Maharashtra
LDSMFG_127530,161131,90-180,Delhi
LDSMFG_127531,363928,60-90,Tamil Nadu
LDSMFG_127532,307770,60-90,Karnataka
LDSMFG_127533,25703,90-180,Tamil Nadu
LDSMFG_127534,370837,30-60,Delhi
LDSMFG_127535,459633,90-180,Karnataka
LDSMFG_127536,252608,90-180,UP
LDSMFG_127537,195300,60-90,Delhi
LDSMFG_127538,139277,60-90,Delhi
LDSMFG_127539,433145,180+,UP
LDSMFG_127540,481600,90-180,Tamil Nadu
LDSMFG_127541,431627,180+,Maharashtra
LDSMFG_127542,216594,60-90,Tamil Nadu
LDSMFG_127543,16628,30-60,Maharashtra
LDSMFG_127544,108655,30-60,Tamil Nadu
LDSMFG_127545,206161,90-180,UP
LDSMFG_127546,273662,60-90,Maharashtra
LDSMFG_127547,174563,30-60,Tamil Nadu
LDSMFG_127548,144018,30-60,UP
LDSMFG_127549,5610,30-60,Delhi
LDSMFG_127550,468054,30-60,Delhi
LDSMFG_127551,301455,90-180,Tamil Nadu
LDSMFG_127552,131419,90-180,Delhi
LDSMFG_127553,267001,90-180,Delhi
LDSMFG_127554,235842,30-60,Delhi
LDSMFG_127555,309020,30-60,Maharashtra
LDSMFG_127556,478408,30-60,UP
LDSMFG_127557,240612,30-60,Tamil Nadu
LDSMFG_127558,248095,30-60,Delhi
LDSMFG_127559,317477,180+,Maharashtra
LDSMFG_127560,187370,90-180,Karnataka
LDSMFG_127561,351336,30-60,Tamil Nadu
LDSMFG_127562,46811,30-60,UP
LDSMFG_127563,75072,30-60,Tamil Nadu
LDSMFG_127564,120407,90-180,Tamil Nadu
LDSMFG_127565,255440,90-180,Karnataka
LDSMFG_127566,47974,60-90,Karnataka
LDSMFG_127567,155928,180+,Maharashtra
LDSMFG_127568,443046,30-60,Karnataka
LDSMFG_127569,86983,30-60,Maharashtra
LDSMFG_127570,312967,30-60,Delhi
LDSMFG_127571,366007,30-60,Karnataka
LDSMFG_127572,258206,60-90,Karnataka
LDSMFG_127573,367181,30-60,UP
LDSMFG_127574,472613,60-90,Karnataka
LDSMFG_127575,221886,60-90,Karnataka
LDSMFG_127576,72078,60-90,UP
LDSMFG_127577,374911,30-60,Tamil Nadu
LDSMFG_127578,72951,60-90,Tamil Nadu
LDSMFG_127579,376431,30-60,Tamil Nadu
LDSMFG_127580,148977,90-180,Karnataka
LDSMFG_127581,288745,60-90,Karnataka
LDSMFG_127582,108691,30-60,Karnataka
LDSMFG_127583,223171,60-90,Delhi
LDSMFG_127584,177027,30-60,Maharashtra
LDSMFG_127585,208251,30-60,Karnataka
LDSMFG_127586,53435,30-60,Delhi
LDSMFG_127587,422260,30-60,UP
LDSMFG_127588,278390,180+,Karnataka
LDSMFG_127589,269602,60-90,Karnataka
LDSMFG_127590,194579,30-60,UP
LDSMFG_127591,11028,60-90,Maharashtra
LDSMFG_127592,239823,60-90,Karnataka
LDSMFG_127593,124247,30-60,Karnataka
LDSMFG_127594,319045,60-90,Tamil Nadu
LDSMFG_127595,236324,60-90,Karnataka
LDSMFG_127596,142378,30-60,UP
LDSMFG_127597,373699,60-90,Karnataka
LDSMFG_127598,294822,90-180,Maharashtra
LDSMFG_127599,357588,30-60,Maharashtra
LDSMFG_127600,279507,60-90,UP
LDSMFG_127601,150138,180+,Maharashtra
LDSMFG_127602,68804,90-180,Delhi
LDSMFG_127603,119433,60-90,Maharashtra
LDSMFG_127604,53544,90-180,Karnataka
LDSMFG_127605,365391,60-90,Delhi
LDSMFG_127606,5189,180+,UP
LDSMFG_127607,278896,30-60,Karnataka
LDSMFG_127608,256768,90-180,Maharashtra
LDSMFG_127609,12482,30-60,Maharashtra
LDSMFG_127610,283823,30-60,Karnataka
LDSMFG_127611,261500,90-180,Delhi
LDSMFG_127612,390200,90-180,Tamil Nadu
LDSMFG_127613,488304,30-60,Maharashtra
LDSMFG_127614,5799,30-60,UP
LDSMFG_127615,489133,30-60,UP
LDSMFG_127616,126691,90-180,Maharashtra
LDSMFG_127617,408150,60-90,UP
LDSMFG_127618,324702,60-90,Maharashtra
LDSMFG_127619,326367,90-180,Maharashtra
LDSMFG_127620,220692,60-90,Maharashtra
LDSMFG_127621,308700,180+,Maharashtra
LDSMFG_127622,408125,180+,UP
LDSMFG_127623,96467,30-60,Karnataka
LDSMFG_127624,377863,60-90,Maharashtra
LDSMFG_127625,96404,60-90,Tamil Nadu
LDSMFG_127626,48558,60-90,Delhi
LDSMFG_127627,215454,60-90,Maharashtra
LDSMFG_127628,223865,30-60,Maharashtra
LDSMFG_127629,426229,90-180,Maharashtra
LDSMFG_127630,108018,30-60,Karnataka
LDSMFG_127631,158947,60-90,Karnataka
LDSMFG_127632,226325,30-60,Maharashtra
LDSMFG_127633,16408,60-90,Delhi
LDSMFG_127634,40607,180+,Delhi
LDSMFG_127635,66684,60-90,Maharashtra
LDSMFG_127636,434497,60-90,Maharashtra
LDSMFG_127637,294470,30-60,Delhi
LDSMFG_127638,18601,60-90,UP
LDSMFG_127639,129594,180+,Tamil Nadu
LDSMFG_127640,268279,180+,Tamil Nadu
LDSMFG_127641,158813,60-90,Maharashtra
LDSMFG_127642,16913,90-180,UP
LDSMFG_127643,15101,30-60,Karnataka
LDSMFG_127644,154703,60-90,Karnataka
LDSMFG_127645,208156,90-180,UP
LDSMFG_127646,107820,30-60,Maharashtra
LDSMFG_127647,435086,180+,Karnataka
LDSMFG_127648,185057,90-180,UP
LDSMFG_127649,425431,90-180,Maharashtra
LDSMFG_127650,265381,30-60,Tamil Nadu
LDSMFG_127651,67110,30-60,UP
LDSMFG_127652,238887,90-180,Karnataka
LDSMFG_127653,24215,60-90,Tamil Nadu
LDSMFG_127654,227190,60-90,UP
LDSMFG_127655,150096,30-60,Karnataka
LDSMFG_127656,81949,60-90,UP
LDSMFG_127657,348999,90-180,UP
LDSMFG_127658,483198,60-90,UP
LDSMFG_127659,181555,60-90,UP
LDSMFG_127660,373423,60-90,Delhi
LDSMFG_127661,233644,90-180,Delhi
LDSMFG_127662,214229,90-180,Karnataka
LDSMFG_127663,408727,60-90,Karnataka
LDSMFG_127664,126898,30-60,Maharashtra
LDSMFG_127665,418139,30-60,Tamil Nadu
LDSMFG_127666,146630,60-90,Tamil Nadu
LDSMFG_127667,495987,30-60,Delhi
LDSMFG_127668,5526,60-90,Tamil Nadu
LDSMFG_127669,6753,60-90,UP
LDSMFG_127670,424464,90-180,Delhi
LDSMFG_127671,281800,30-60,UP
LDSMFG_127672,290410,30-60,Tamil Nadu
LDSMFG_127673,69555,90-180,UP
LDSMFG_127674,67995,30-60,Delhi
LDSMFG_127675,473972,180+,Delhi
LDSMFG_127676,219646,60-90,Maharashtra
LDSMFG_127677,83277,30-60,UP
LDSMFG_127678,468593,30-60,Maharashtra
LDSMFG_127679,107345,60-90,UP
LDSMFG_127680,363255,30-60,UP
LDSMFG_127681,70402,180+,Karnataka
LDSMFG_127682,452392,90-180,Tamil Nadu
LDSMFG_127683,259799,60-90,Tamil Nadu
LDSMFG_127684,390891,180+,Tamil Nadu
LDSMFG_127685,177805,30-60,Delhi
LDSMFG_127686,19418,90-180,UP
LDSMFG_127687,259494,90-180,Karnataka
LDSMFG_127688,304329,60-90,Tamil Nadu
LDSMFG_127689,46745,30-60,UP
LDSMFG_127690,229489,60-90,Karnataka
LDSMFG_127691,189859,180+,Karnataka
LDSMFG_127692,347267,30-60,Karnataka
LDSMFG_127693,188107,30-60,UP
LDSMFG_127694,354948,60-90,Maharashtra
LDSMFG_127695,464200,60-90,Tamil Nadu
LDSMFG_127696,450678,30-60,Delhi
LDSMFG_127697,435569,90-180,Delhi
LDSMFG_127698,378199,180+,Maharashtra
LDSMFG_127699,471860,30-60,Maharashtra
LDSMFG_127700,124097,180+,Maharashtra
LDSMFG_127701,53302,30-60,Karnataka
LDSMFG_127702,127561,30-60,Tamil Nadu
LDSMFG_127703,213051,30-60,UP
LDSMFG_127704,420651,60-90,Delhi
LDSMFG_127705,62728,180+,UP
LDSMFG_127706,365742,30-60,Karnataka
LDSMFG_127707,268382,60-90,UP
LDSMFG_127708,216929,30-60,Maharashtra
LDSMFG_127709,348754,30-60,UP
LDSMFG_127710,149121,180+,UP
LDSMFG_127711,62193,90-180,Karnataka
LDSMFG_127712,171656,90-180,Karnataka
LDSMFG_127713,333778,60-90,UP
LDSMFG_127714,19679,30-60,Tamil Nadu
LDSMFG_127715,301649,30-60,UP
LDSMFG_127716,318485,30-60,Tamil Nadu
LDSMFG_127717,499285,180+,UP
LDSMFG_127718,55374,60-90,UP
LDSMFG_127719,314142,60-90,UP
LDSMFG_127720,475186,60-90,Delhi
LDSMFG_127721,191773,180+,UP
LDSMFG_127722,180931,30-60,Tamil Nadu
LDSMFG_127723,394347,30-60,UP
LDSMFG_127724,38178,30-60,Delhi
LDSMFG_127725,425791,90-180,Karnataka
LDSMFG_127726,417545,90-180,UP
LDSMFG_127727,455470,60-90,Maharashtra
LDSMFG_127728,239162,30-60,Delhi
LDSMFG_127729,374517,30-60,Delhi
LDSMFG_127730,220101,30-60,Maharashtra
LDSMFG_127731,223438,180+,Tamil Nadu
LDSMFG_127732,109139,180+,Tamil Nadu
LDSMFG_127733,105290,60-90,Delhi
LDSMFG_127734,471878,30-60,Maharashtra
LDSMFG_127735,176140,90-180,Maharashtra
LDSMFG_127736,63951,60-90,Karnataka
LDSMFG_127737,354773,30-60,Karnataka
LDSMFG_127738,249924,30-60,Tamil Nadu
LDSMFG_127739,433387,60-90,Karnataka
LDSMFG_127740,144334,180+,Delhi
LDSMFG_127741,441486,60-90,Delhi
LDSMFG_127742,156857,30-60,UP
LDSMFG_127743,437685,30-60,Delhi
LDSMFG_127744,335975,30-60,Karnataka
LDSMFG_127745,348367,90-180,Maharashtra
LDSMFG_127746,50643,30-60,Karnataka
LDSMFG_127747,203729,30-60,Delhi
LDSMFG_127748,8582,60-90,Tamil Nadu
LDSMFG_127749,117781,30-60,UP
LDSMFG_127750,428496,30-60,UP
LDSMFG_127751,254957,60-90,Delhi
LDSMFG_127752,440805,90-180,Karnataka
LDSMFG_127753,109004,30-60,Tamil Nadu
LDSMFG_127754,45000,180+,Karnataka
LDSMFG_127755,107592,60-90,Maharashtra
LDSMFG_127756,495424,180+,Karnataka
LDSMFG_127757,6085,60-90,Tamil Nadu
LDSMFG_127758,479643,60-90,Maharashtra
LDSMFG_127759,413816,180+,Delhi
LDSMFG_127760,365138,60-90,Maharashtra
LDSMFG_127761,458017,30-60,Delhi
LDSMFG_127762,197811,60-90,Delhi
LDSMFG_127763,210253,30-60,Maharashtra
LDSMFG_127764,384453,30-60,Karnataka
LDSMFG_127765,374258,90-180,UP
LDSMFG_127766,439812,60-90,Tamil Nadu
LDSMFG_127767,337554,30-60,UP
LDSMFG_127768,477519,30-60,Tamil Nadu
LDSMFG_127769,188260,60-90,Delhi
LDSMFG_127770,293969,30-60,Tamil Nadu
LDSMFG_127771,146985,30-60,Tamil Nadu
LDSMFG_127772,217823,30-60,Karnataka
LDSMFG_127773,89269,60-90,Maharashtra
LDSMFG_127774,281476,60-90,UP
LDSMFG_127775,59895,30-60,Tamil Nadu
LDSMFG_127776,402648,90-180,Tamil Nadu
LDSMFG_127777,486311,90-180,Delhi
LDSMFG_127778,424786,60-90,Maharashtra
LDSMFG_127779,241641,30-60,Karnataka
LDSMFG_127780,404319,60-90,Tamil Nadu
LDSMFG_127781,264830,90-180,Karnataka
LDSMFG_127782,389190,30-60,UP
LDSMFG_127783,414116,60-90,Delhi
LDSMFG_127784,456631,90-180,Delhi
LDSMFG_127785,334711,90-180,Maharashtra
LDSMFG_127786,329857,30-60,Karnataka
LDSMFG_127787,219241,30-60,UP
LDSMFG_127788,63639,30-60,Delhi
LDSMFG_127789,486944,180+,Tamil Nadu
LDSMFG_127790,483692,30-60,Karnataka
LDSMFG_127791,242895,90-180,Karnataka
LDSMFG_127792,407204,180+,Tamil Nadu
LDSMFG_127793,370747,180+,Karnataka
LDSMFG_127794,83488,60-90,UP
LDSMFG_127795,360049,90-180,Maharashtra
LDSMFG_127796,499614,60-90,UP
LDSMFG_127797,270121,90-180,Delhi
LDSMFG_127798,382794,30-60,Tamil Nadu
LDSMFG_127799,240101,90-180,Maharashtra
LDSMFG_127800,321785,60-90,Delhi
LDSMFG_127801,399484,60-90,Delhi
LDSMFG_127802,381609,90-180,Maharashtra
LDSMFG_127803,59431,30-60,Delhi
LDSMFG_127804,283900,30-60,Delhi
LDSMFG_127805,156836,60-90,Karnataka
LDSMFG_127806,195984,30-60,UP
LDSMFG_127807,438601,30-60,Tamil Nadu
LDSMFG_127808,151104,180+,Karnataka
LDSMFG_127809,231086,30-60,Maharashtra
LDSMFG_127810,181774,30-60,Maharashtra
LDSMFG_127811,147957,30-60,Maharashtra
LDSMFG_127812,276940,60-90,Tamil Nadu
LDSMFG_127813,371727,90-180,UP
LDSMFG_127814,168935,30-60,Maharashtra
LDSMFG_127815,86014,60-90,Delhi
LDSMFG_127816,168189,30-60,Delhi
LDSMFG_127817,418969,90-180,Maharashtra
LDSMFG_127818,287469,60-90,Delhi
LDSMFG_127819,405237,90-180,Maharashtra
LDSMFG_127820,478937,90-180,Delhi
LDSMFG_127821,260152,180+,Delhi
LDSMFG_127822,58096,180+,Delhi
LDSMFG_127823,207476,60-90,Karnataka
LDSMFG_127824,149143,60-90,Karnataka
LDSMFG_127825,331793,30-60,UP
LDSMFG_127826,275185,30-60,Karnataka
LDSMFG_127827,218123,60-90,Maharashtra
LDSMFG_127828,45058,60-90,UP
LDSMFG_127829,53263,30-60,UP
